prompt_idx,prompt_id,seq_len,low_latency_ms,full_latency_ms,low_peak_mem_mb,full_peak_mem_mb,next_token_kl_full_to_low,next_token_top1_agreement
0,arith_0155,45,241.16897700878326,229.09581899875775,28587.1806640625,28638.09130859375,11.933688953518867,0.0
1,logic_0146,69,265.1838979945751,251.64401200891007,28728.59130859375,28782.0234375,11.760612964630127,0.125
2,sym_0313,44,237.87119399639778,223.82344299694523,28744.34521484375,28750.86669921875,15.209106028079987,0.0
3,logic_0031,69,270.31033899402246,252.4871679925127,28727.36865234375,28781.095703125,12.022187933325768,0.125
4,seq_0312,52,251.85584599967115,236.01183800201397,28756.3369140625,28771.9091796875,10.000831563025713,0.0625
5,arith_0285,46,241.73848099599127,229.81195799366105,28706.3916015625,28729.4443359375,12.343357637524605,0.0
6,seq_0077,51,259.7195679991273,240.95214399858378,28701.033203125,28732.22216796875,11.257810339331627,0.0
7,con_0294,51,235.74208599166013,231.07104100927245,28710.1962890625,28738.50439453125,10.395611554384232,0.0
8,sym_0038,44,233.84012099995743,231.73268199025188,28699.01953125,28719.408203125,17.223161160945892,0.0
9,sym_0123,44,234.52591100067366,231.3618430052884,28683.4541015625,28707.8759765625,16.577666401863098,0.0
